file_name,tags,ratio
/home/yonah/Data/vt_report_pdf/79ec90dbdd2fef7dca72ca53563e62dc6a5814491203bb3de6834df27598d889.html,0,11 / 44
/home/yonah/Data/vt_report_pdf/f84a9323ed2b3f4be95f2e0fe30e74ce9bb78b27c5b9ae16ed1f67f19d03b668.html,0, 6 / 42
/home/yonah/Data/vt_report_pdf/800fd8c616db5d5c0f65ebeb37945f0d4d7a62af5c40e5b8e7de73dd929e5fcd.html,0,14 / 43
/home/yonah/Data/vt_report_pdf/052979f8a9ed2cb10769622f52a8c2db7bdc805975844534198783094f1ce95c.html,"['invalid-xref', 'pdf', 'acroform', 'autoaction', 'js-embedded']",26 / 46
/home/yonah/Data/vt_report_pdf/08193df97653219b4cb76ddccc097462e18be11ef9f5a60cd873aa25935eecda.html,['pdf'], 3 / 60
/home/yonah/Data/vt_report_pdf/566d875b4d64bb579d50e62a6ba7fe2d99d7594a3a0d0993bd2fc093d32c8146.html,0, 7 / 43
/home/yonah/Data/vt_report_pdf/def9de55ec25989587218248347e48586dcc9c20494ff8929283924f356fe3ce.html,"['js-embedded', 'exploit', 'autoaction', 'pdf', 'invalid-xref', 'acroform', 'cve-2011-2462']",29 / 52
/home/yonah/Data/vt_report_pdf/ea4d78536bf44668ace2ff62c93d126ce7a4672b49a89b34f3bf19a72ed66e54.html,0, 5 / 42
/home/yonah/Data/vt_report_pdf/59019bbd881ace5e4fd6ea7a87f0425e00e2bd3769589a9c75483a0b5fb16889.html,0,32 / 42
/home/yonah/Data/vt_report_pdf/3257ec995130beb94ff9bc729b192f42a3d6f54e1072a7357a2accf59e54c94a.html,"['invalid-xref', 'acroform', 'js-embedded', 'pdf']",39 / 54
/home/yonah/Data/vt_report_pdf/bba5b391b54f6c13f99fc2b5e067fea6a48cff1e3c39f8cb087a894c4c4f6500.html,0,13 / 42
/home/yonah/Data/vt_report_pdf/9eb0a66c76a24553045d7dd06ef984494c5820a08eeace66b9e212295ab39a5b.html,0,31 / 41
/home/yonah/Data/vt_report_pdf/f3ad4697e13589e718426f5b09515b7c704cd0c6b35986c13a6196998077e802.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",37 / 50
/home/yonah/Data/vt_report_pdf/77d0e31872dd7a464b187844901509c192bca5d4d6d45f30a7c7409f72ea641f.html,0,30 / 42
/home/yonah/Data/vt_report_pdf/80cbaa5be6218a1ca4c09ff90e0d76d94a8a925dd60de74e49a8e2bbb979bac5.html,0,28 / 43
/home/yonah/Data/vt_report_pdf/4035a2f77274b82bfe1bed53bad2d0ba2650f1e4fc4f0678e3615d644c8369fe.html,"['pdf', 'acroform', 'js-embedded', 'autoaction', 'invalid-xref']",25 / 46
/home/yonah/Data/vt_report_pdf/7aa49b69e7080a5639adbbd60093236edad0e35db2a89186bddfba9a0774abd4.html,0,29 / 43
/home/yonah/Data/vt_report_pdf/aac2f81fd6d9dd6a23c9bec386dba5fd72b561cd08326dc68151de75d6d785b1.html,0,17 / 41
/home/yonah/Data/vt_report_pdf/940ab8d86561a4c128517a06244bd63a587afc9885e643d17f7489e1c90ef25e.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",32 / 46
/home/yonah/Data/vt_report_pdf/2a4f8d3cc779028e33a91689863e641d76d60068e642bfb30eb641e793c02d42.html,"['pdf', 'acroform', 'file-embedded', 'invalid-xref']",33 / 51
/home/yonah/Data/vt_report_pdf/9f6d98c244d38fbcdb43c6b1f0c5543bb3cdf423d3e22af0626d0063f1201e1c.html,"['invalid-xref', 'acroform', 'js-embedded', 'autoaction', 'pdf']",22 / 46
/home/yonah/Data/vt_report_pdf/2ceaf43e7a249fe70e472e24055251df64dd1b28378f25e5b4f1cd1fec048252.html,0,20 / 43
/home/yonah/Data/vt_report_pdf/baf8d77afbbeada6a0552c4900ee9cd2d1970fcc0475ffdebe24001db8691ed7.html,"['exploit', 'js-embedded', 'cve-2009-0927', 'invalid-xref', 'pdf', 'acroform']",36 / 57
/home/yonah/Data/vt_report_pdf/65ac738b5399121ec89493a9ee7551e971aba34cde6b208574c992adb3bf0878.html,"['pdf', 'autoaction']", 0 / 51
/home/yonah/Data/vt_report_pdf/0fbe3a6732dde42846a02bd717089d1bccda4614e7005eaa298264dd490dcc86.html,0,10 / 44
/home/yonah/Data/vt_report_pdf/af7e4e78e281ff9ff6c61eb470960c8b97a4b274b3067d710043f58c9db81292.html,"['pdf', 'exploit', 'cve-2007-5659', 'autoaction', 'js-embedded']",29 / 53
/home/yonah/Data/vt_report_pdf/1c93405a77aea0ea8ed0f12d09f2dc12e83b57e87acc320e61f4e2db4214ab25.html,"['invalid-xref', 'exploit', 'pdf', 'cve-2009-4324', 'js-embedded']",34 / 60
/home/yonah/Data/vt_report_pdf/bc7adb6886129ad34e7d1312a1a9d22b578caccfbd42bd0440f7a87a9d1970aa.html,0,27 / 43
/home/yonah/Data/vt_report_pdf/0deaf9a6f88d3e92f34ebb2900fd57271e8c224fbca849d74ee56d2166d9e320.html,0,15 / 42
/home/yonah/Data/vt_report_pdf/599892782312019d49349ef7736a67f2323240d4df2a3f84b216120b997bf57e.html,0,29 / 42
/home/yonah/Data/vt_report_pdf/9a395541f9ee0614e6573644e77760bd910937b827ef7e6814dd4dc60888c7fb.html,"['invalid-xref', 'pdf', 'js-embedded']",38 / 60
/home/yonah/Data/vt_report_pdf/af450b866e581c0ba4304f08b9bbc41b89062af1e0abdb230b26b293b0505c0a.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",35 / 53
